"","Exp","Dist","Dia","Turno","Long","Lat","TipVeh","Sexo","Edad","TipPer","Vict","gravedad","TipAcc"
"1","2018S000001    ","Sants-Montjuïc","Dilluns","Nit",2.160723,41.374806,"Cotxe","Home",41,"Conductor","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Abast"
"2","2018S000001    ","Sants-Montjuïc","Dilluns","Nit",2.160723,41.374806,"Cotxe","Home",54,"Conductor","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Abast"
"3","2018S000002    ","Eixample","Dilluns","Nit",2.148281,41.386492,"Motocicleta","Home",45,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Col.lisió fronto-lateral"
"4","2018S000003    ","Sant Martí","Dilluns","Nit",2.178621,41.412675,"Motocicleta","Home",70,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Abast"
"5","2018S000005    ","Nou Barris","Dilluns","Matí",2.179432,41.463661,"Cotxe","Dona",33,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Altres"
"6","2018S000006    ","Les Corts","Dilluns","Tarda",2.137733,41.390612,"Cotxe","Dona",39,"Passatger","Ferit lleu: Hospitalització fins a 24h",0,"Abast"
"7","2018S000007    ","Sant Martí","Dilluns","Tarda",2.203081,41.418318,"Furgoneta","Home",41,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Abast"
"8","2018S000007    ","Sant Martí","Dilluns","Tarda",2.203081,41.418318,"Furgoneta","Dona",7,"Passatger","Ferit lleu: Hospitalització fins a 24h",0,"Abast"
"9","2018S000008    ","Sants-Montjuïc","Dilluns","Tarda",2.129219,41.375528,"Motocicleta","Home",26,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Col.lisió fronto-lateral"
"10","2018S000009    ","Eixample","Dilluns","Tarda",2.159811,41.381177,"Motocicleta","Home",30,"Passatger","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Col.lisió lateral"
"11","2018S000010    ","Nou Barris","Dilluns","Tarda",2.173315,41.43463,"Motocicleta","Home",59,"Conductor","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Col.lisió fronto-lateral"
"12","2018S000011    ","Eixample","Dilluns","Tarda",2.158845,41.394428,"Cotxe","Home",6,"Vianant","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Atropellament"
"13","2018S000012    ","Ciutat Vella","Dilluns","Tarda",2.177156,41.382513,"Bicicleta","Home",71,"Vianant","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Atropellament"
"14","2018S000013    ","Eixample","Dilluns","Nit",2.175728,41.394232,"Motocicleta","Dona",20,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Col.lisió lateral"
"15","2018S000014    ","Sant Martí","Dilluns","Tarda",2.195174,41.392555,"Motocicleta","Home",20,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Col.lisió fronto-lateral"
"16","2018S000015    ","Sant Martí","Dilluns","Nit",2.195947,41.388026,"Cotxe","Home",26,"Passatger","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Col.lisió fronto-lateral"
"17","2018S000016    ","Eixample","Dimarts","Nit",2.163831,41.384174,"Altres","Home",45,"Passatger","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Col.lisió lateral"
"18","2018S000017    ","Eixample","Dimarts","Matí",2.175428,41.400076,"Cotxe","Dona",37,"Conductor","Ferit lleu: Amb assistència sanitària en lloc d'accident",0,"Col.lisió lateral"
"19","2018S000018    ","Sarrià-Sant Gervasi","Dimarts","Nit",2.131425,41.410674,"Cotxe","Home",35,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Col.lisió fronto-lateral"
"20","2018S000019    ","Eixample","Dimarts","Matí",2.153951,41.394167,"Motocicleta","Home",35,"Conductor","Ferit lleu: Rebutja assistència sanitària",0,"Col.lisió lateral"
"21","2018S000019    ","Eixample","Dimarts","Matí",2.153951,41.394167,"Motocicleta","Dona",33,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Col.lisió lateral"
"22","2018S000021    ","Sarrià-Sant Gervasi","Dimarts","Matí",2.125779,41.410338,"Motocicleta","Home",39,"Conductor","Ferit lleu: Hospitalització fins a 24h",0,"Abast"
