"","Exp","Dist","Dia","Turno","Long","Lat","TipVeh","Sexo","Edad","TipPer","Vict","gravedad","TipAcc"
"30","2018S000028    ","Sant Andreu","Dimarts","Tarda",2.203412,41.443341,"Motocicleta","Home",45,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"74","2018S000065    ","Sant Martí","Dimecres","Nit",2.19819,41.411891,"Bicicleta","Home",46,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"114","2018S000100    ","Les Corts","Divendres","Tarda",2.126946,41.385013,"Motocicleta","Home",37,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"188","2018S000154    ","Nou Barris","Dilluns","Matí",2.184825,41.446719,"Cotxe","Dona",81,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"215","2018S000179    ","Eixample","Dilluns","Tarda",2.170988,41.391485,"Motocicleta","Home",48,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"249","2018S000214    ","Ciutat Vella","Dimarts","Matí",2.186253,41.382617,"Motocicleta","Home",42,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"317","2018S000271    ","Sants-Montjuïc","Divendres","Matí",2.138494,41.366705,"Autobús","Dona",59,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
"356","2018S000300    ","Eixample","Divendres","Tarda",2.174358,41.409499,"Motocicleta","Home",41,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"395","2018S000338    ","Eixample","Dissabte","Nit",2.1616,41.394818,"Cotxe","Home",69,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"481","2018S000411    ","Horta-Guinardó","Dimarts","Tarda",2.154856,41.426395,"Cotxe","Dona",86,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"515","2018S000436    ","Eixample","Dimecres","Matí",2.161465,41.397016,"Motocicleta","Home",41,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"537","2018S000444    ","Nou Barris","Dimecres","Tarda",2.18416,41.428658,"Motocicleta","Home",32,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"539","2018S000445    ","Nou Barris","Dimecres","Tarda",2.179737,41.435508,"Motocicleta","Dona",57,"Vianant","Mort (dins 24h posteriors accident)",1,"Atropellament"
"589","2018S000484    ","Horta-Guinardó","Divendres","Matí",2.14857,41.438851,"Motocicleta","Home",48,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"632","2018S000523    ","Sants-Montjuïc","Dissabte","Matí",2.140103,41.375211,"Motocicleta","Home",38,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"633","2018S000523    ","Sants-Montjuïc","Dissabte","Matí",2.140103,41.375211,"Motocicleta","Home",38,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"662","2018S000537    ","Sant Martí","Dissabte","Tarda",2.195947,41.388026,"Motocicleta","Home",42,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
"663","2018S000537    ","Sant Martí","Dissabte","Tarda",2.195947,41.388026,"Motocicleta","Dona",42,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
